rankbreeze_Id,rental_id,orig_price_per_night,cleaning_fee,service_fee,total_price,price_per_night,check_in_date,check_out_date
51045,862225236403589050,0.0,309.0,188.0,1517.0,255.0,2024-06-11,2024-06-15
51045,862225236403589050,191.0,212.0,117.0,947.0,155.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,315.0,219.0,1773.0,310.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,222.0,165.0,1333.0,237.0,2024-06-11,2024-06-15
51045,862225236403589050,378.0,350.0,223.0,1801.0,307.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,599.0,513.0,4148.0,759.0,2024-06-11,2024-06-15
51045,862225236403589050,304.0,369.0,199.0,1611.0,261.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,350.0,247.0,1997.0,350.0,2024-06-11,2024-06-15
51045,862225236403589050,339.0,286.0,161.0,1299.0,213.0,2024-06-11,2024-06-15
51045,862225236403589050,478.0,290.0,223.0,1801.0,322.0,2024-06-11,2024-06-15
51045,862225236403589050,414.0,395.0,253.0,2044.0,349.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,385.0,334.0,2700.0,495.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,400.0,219.0,1771.0,288.0,2024-06-11,2024-06-15
51045,862225236403589050,305.0,339.0,196.0,1583.0,262.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,275.0,195.0,1576.0,277.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,300.0,216.0,1747.0,308.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,295.0,208.0,1681.0,295.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,559.0,322.0,2605.0,431.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,250.0,181.0,1466.0,259.0,2024-06-11,2024-06-15
51045,862225236403589050,378.0,375.0,222.0,1797.0,300.0,2024-06-11,2024-06-15
51045,862225236403589050,448.0,300.0,252.0,2039.0,372.0,2024-06-11,2024-06-15
